date,hosp
2023-03-24,15
2023-03-25,16
2023-03-26,16
2023-03-27,14
2023-03-28,17
2023-03-29,18
2023-03-30,19
2023-03-31,14
2023-04-01,16
2023-04-02,13
2023-04-03,18
2023-04-04,20
2023-04-05,18
2023-04-06,14
2023-04-07,13
2023-04-08,12
2023-04-09,20
2023-04-10,15
2023-04-11,19
2023-04-12,15
2023-04-13,13
2023-04-14,14
2023-04-15,7
2023-04-16,9
2023-04-17,10
2023-04-18,5
2023-04-19,8
2023-04-20,9
2023-04-21,7
2023-04-22,6
2023-04-23,11
2023-04-24,4
2023-04-25,3
2023-04-26,4
2023-04-27,4
2023-04-28,4
2023-04-29,4
2023-04-30,4
2023-05-01,5
2023-05-02,5
2023-05-03,3
2023-05-04,5
2023-05-05,8
2023-05-06,4
2023-05-07,6
2023-05-08,8
2023-05-09,6
2023-05-10,6
2023-05-11,6
2023-05-12,7
2023-05-13,5
2023-05-14,6
2023-05-15,5
2023-05-16,4
2023-05-17,7
2023-05-18,3
2023-05-19,3
2023-05-20,1
2023-05-21,6
2023-05-22,2
2023-05-23,4
2023-05-24,4
2023-05-25,4
2023-05-26,2
2023-05-28,1
2023-05-29,2
2023-05-30,1
2023-06-02,5
2023-06-03,2
2023-06-04,3
2023-06-05,4
2023-06-06,3
2023-06-07,1
2023-06-08,1
2023-06-09,1
2023-06-10,1
2023-06-11,1
2023-06-12,4
2023-06-13,4
2023-06-14,1
2023-06-15,3
2023-06-16,4
2023-06-18,2
2023-06-20,3
2023-06-21,1
2023-06-24,1
2023-06-26,1
2023-06-27,2
2023-06-30,1
2023-07-03,1
2023-07-07,1
2023-07-08,2
2023-07-10,1
2023-07-12,1
2023-07-13,2
2023-07-14,1
2023-07-15,1
2023-07-16,1
2023-07-19,1
2023-07-20,3
2023-07-23,1
2023-07-24,3
2023-07-27,2
2023-07-31,1
